Time point,Name,Marker,n_no_frozen,n_frozen,t_stat,p_value,stars
2h,US,EVIR+,1,0,,,na
2h,US,PKH26+,1,0,,,na
2h,EVIR GD2+,EVIR+,3,2,-7.805392834660587,0.004410747917272328,**
2h,EVIR GD2+,PKH26+,3,2,-3.629059359985298,0.039188539080192014,*
2h,EVIR GD2-,EVIR+,2,1,,,na
2h,EVIR GD2-,PKH26+,2,1,,,na
2h,UT GD2+,EVIR+,5,2,-1.1856945515497483,0.4084366882275214,ns
2h,UT GD2+,PKH26+,5,2,1.3469092242459586,0.24327149473870116,ns
2h,UT GD2-,EVIR+,1,2,,,na
2h,UT GD2-,PKH26+,1,2,,,na
24h,US,EVIR+,1,0,,,na
24h,US,PKH26+,1,0,,,na
24h,EVIR GD2+,EVIR+,3,2,-4.072063510778904,0.11389652223753835,ns
24h,EVIR GD2+,PKH26+,3,2,-1.4750213593548225,0.2636618508126623,ns
24h,EVIR GD2-,EVIR+,2,1,,,na
24h,EVIR GD2-,PKH26+,2,1,,,na
24h,UT GD2+,EVIR+,5,2,0.866831977188414,0.49931401606985426,ns
24h,UT GD2+,PKH26+,5,2,1.4490253888929203,0.2195987882282675,ns
24h,UT GD2-,EVIR+,1,2,,,na
24h,UT GD2-,PKH26+,1,2,,,na
