Time point;Name;Transfected;EVs;Frozen;EVIR+;EVIR-;PKH26+;PKH26-
2h;US;0;0;0;0,096;99,9;0;100
2h;EVIR GD2+;1;1;0;18,6;81,4;3,24;96,8
2h;EVIR GD2+;1;1;0;28,2;71,8;0,37;99,6
2h;EVIR GD2+;1;1;0;28,4;71,6;4,16;95,8
2h;EVIR GD2-;1;0;0;28,9;71,1;0,72;99,3
2h;EVIR GD2-;1;0;0;27;73;1,14;98,9
2h;UT GD2+;0;1;0;1,94;98,1;27,5;72,5
2h;UT GD2+;0;1;0;1,03;99;26,8;73,2
2h;UT GD2+;0;1;0;1,2;98,8;34,9;65,1
2h;UT GD2+;0;1;0;1,63;98,4;49,3;50,7
2h;UT GD2+;0;1;0;1,21;98,8;32,4;67,6
2h;UT GD2-;0;0;0;1,35;98,7;9,63;90,4
2h;EVIR GD2+;1;1;1;58,9;41,1;7,91;92,1
2h;EVIR GD2+;1;1;1;54,1;45,9;6,68;93,3
2h;EVIR GD2-;1;0;1;54;46;1,27;98,7
2h;UT GD2+;0;1;1;1,52;98,5;27,6;72,4
2h;UT GD2+;0;1;1;2,4;97,6;29,5;70,5
2h;UT GD2-;0;0;1;1,54;98,5;16;84
2h;UT GD2-;0;0;1;2,08;97,9;13,8;86,2
24h;US;0;0;0;0;100;0;100
24h;EVIR GD2+;1;1;0;21,8;78,2;0,59;99,4
24h;EVIR GD2+;1;1;0;20,3;79,7;28,5;71,5
24h;EVIR GD2+;1;1;0;19,6;80,4;23,4;76,6
24h;EVIR GD2-;1;0;0;21,7;78,3;1,34;98,7
24h;EVIR GD2-;1;0;0;24,5;75,5;1,24;98,8
24h;UT GD2+;0;1;0;3,08;96,9;39,7;60,3
24h;UT GD2+;0;1;0;3,34;96,7;28,8;71,2
24h;UT GD2+;0;1;0;3,34;96,7;51;49
24h;UT GD2+;0;1;0;3,23;96,8;26,1;73,9
24h;UT GD2+;0;1;0;2,41;97,6;31,5;68,5
24h;UT GD2-;0;0;0;0,74;99,3;4,04;96
24h;EVIR GD2+;1;1;1;30,4;69,6;28,3;71,7
24h;EVIR GD2+;1;1;1;26,7;73,3;32,9;67,1
24h;EVIR GD2-;1;0;1;32;68;1,31;98,7
24h;UT GD2+;0;1;1;3,09;96,9;29,3;70,7
24h;UT GD2+;0;1;1;2,4;97,6;28,4;71,6
24h;UT GD2-;0;0;1;3,24;96,8;6,5;93,5
24h;UT GD2-;0;0;1;2,64;97,4;8,14;91,9
