;Time point;Name;Transfected;EVs;Frozen;EVIR+;EVIR+ (std);EVIR-;EVIR- (std);PKH26+;PKH26+ (std);PKH26-;PKH26- (std)
;2h;US;0;0;0;0,096;;99,9;;0;;100;
;2h;EVIR GD2+;1;1;0;25,06666667;5,60119035;74,93333333;5,60119035;2,59;1,976840914;97,4;1,96977156
;2h;EVIR GD2-;1;0;0;27,950;1,344;72,050;1,344;0,930;0,297;99,100;0,283
;2h;UT GD2+;0;1;0;1,402;0,373322917;98,62;0,363318042;34,18;9,10203274;65,82;9,10203274
;2h;UT GD2-;0;0;0;1,35;;98,7;;9,63;;90,4;
;2h;EVIR GD2+;1;1;1;56,5;3,39411255;43,5;3,39411255;7,295;0,869741341;92,7;0,848528137
;2h;EVIR GD2-;1;0;1;54;;46;;1,27;;98,7;
;2h;UT GD2+;0;1;1;1,96;0,622253967;98,05;0,636396103;28,55;1,343502884;71,45;1,343502884
;2h;UT GD2-;0;0;1;1,81;0,381837662;98,2;0,424264069;14,9;1,555634919;85,1;1,555634919
;24h;US;0;0;0;0;;100;;0;;100;
;24h;EVIR GD2+;1;1;0;19,95;0,494974747;80,05;0,494974747;25,95;3,606244584;74,05;3,606244584
;24h;EVIR GD2-;1;0;0;23,1;1,979898987;76,9;1,979898987;1,29;0,070710678;98,75;0,070710678
;24h;UT GD2+;0;1;0;3,08;0,38942265;96,94;0,378153408;35,42;10,08845875;64,58;10,08845875
;24h;UT GD2-;0;0;0;0,74;;99,3;;4,04;;96;
;24h;EVIR GD2+;1;1;1;28,55;2,61629509;71,45;2,61629509;30,6;3,252691193;69,4;3,252691193
;24h;EVIR GD2-;1;0;1;32;;68;;1,31;;98,7;
;24h;UT GD2+;0;1;1;2,745;0,487903679;97,25;0,494974747;28,85;0,636396103;71,15;0,636396103
;24h;UT GD2-;0;0;1;2,94;0,424264069;97,1;0,424264069;7,32;1,159655121;92,7;1,13137085
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
