Day;State;Condition;Concentration (cells/mL)
Day 0;;HSC - every 2 days;250000
Day 1;Live;HSC - every 2 days;70000
Day 1;Dead;HSC - every 2 days;5000
Day 2;Live;HSC - every 2 days;225000
Day 2;Dead;HSC - every 2 days;15000
Day 3;Live;HSC - every 2 days;160000
Day 3;Dead;HSC - every 2 days;15000
Day 4;Live;HSC - every 2 days;305000
Day 4;Dead;HSC - every 2 days;10000
Day 5;Live;HSC - every 2 days;465000
Day 5;Dead;HSC - every 2 days;10000
Day 6;Live;HSC - every 2 days;670000
Day 6;Dead;HSC - every 2 days;10000
Day 0;;HSC change everyday;250000
Day 1;Live;HSC change everyday;105000
Day 1;Dead;HSC change everyday;20000
Day 2;Live;HSC change everyday;45000
Day 2;Dead;HSC change everyday;10000
Day 3;Live;HSC change everyday;20000
Day 3;Dead;HSC change everyday;0
Day 4;Live;HSC change everyday;50000
Day 4;Dead;HSC change everyday;10000
Day 5;Live;HSC change everyday;45000
Day 5;Dead;HSC change everyday;10000
Day 6;Live;HSC change everyday;100000
Day 6;Dead;HSC change everyday;10000
Day 0;;HSC - no change;250000
Day 1;Live;HSC - no change;135000
Day 1;Dead;HSC - no change;25000
Day 2;Live;HSC - no change;65000
Day 2;Dead;HSC - no change;0
Day 3;Live;HSC - no change;220000
Day 3;Dead;HSC - no change;25000
Day 4;Live;HSC - no change;175000
Day 4;Dead;HSC - no change;10000
Day 5;Live;HSC - no change;290000
Day 5;Dead;HSC - no change;10000
Day 6;Live;HSC - no change;260000
Day 6;Dead;HSC - no change;10000
Day 0;;cDC1 - every 2 days;250000
Day 1;Live;cDC1 - every 2 days;100000
Day 1;Dead;cDC1 - every 2 days;10000
Day 2;Live;cDC1 - every 2 days;280000
Day 2;Dead;cDC1 - every 2 days;35000
Day 3;Live;cDC1 - every 2 days;230000
Day 3;Dead;cDC1 - every 2 days;20000
Day 4;Live;cDC1 - every 2 days;490000
Day 4;Dead;cDC1 - every 2 days;15000
Day 5;Live;cDC1 - every 2 days;735000
Day 5;Dead;cDC1 - every 2 days;15000
Day 6;Live;cDC1 - every 2 days;1255000
Day 6;Dead;cDC1 - every 2 days;15000
Day 0;;cDC1 change everyday;250000
Day 1;Live;cDC1 change everyday;130000
Day 1;Dead;cDC1 change everyday;5000
Day 2;Live;cDC1 change everyday;70000
Day 2;Dead;cDC1 change everyday;20000
Day 3;Live;cDC1 change everyday;25000
Day 3;Dead;cDC1 change everyday;0
Day 4;Live;cDC1 change everyday;55000
Day 4;Dead;cDC1 change everyday;15000
Day 5;Live;cDC1 change everyday;65000
Day 5;Dead;cDC1 change everyday;15000
Day 6;Live;cDC1 change everyday;95000
Day 6;Dead;cDC1 change everyday;15000
Day 0;;cDC1 - no change;250000
Day 1;Live;cDC1 - no change;55000
Day 1;Dead;cDC1 - no change;10000
Day 2;Live;cDC1 - no change;95000
Day 2;Dead;cDC1 - no change;0
Day 3;Live;cDC1 - no change;185000
Day 3;Dead;cDC1 - no change;15000
Day 4;Live;cDC1 - no change;455000
Day 4;Dead;cDC1 - no change;20000
Day 5;Live;cDC1 - no change;280000
Day 5;Dead;cDC1 - no change;20000
Day 6;Live;cDC1 - no change;650000
Day 6;Dead;cDC1 - no change;20000
