Time;Sample;cDC1;Macrophages;cDC2;Macrophages;cDC2;pDCs;MDP;Monocytes;HSC;T cells;DCPs;B cells;NK cells, Eosinophils, granulocytes, neutrophils
Before thawing;US;0%;0%;0%;0%;0%;0%;0%;0%;0%;99,40%;0%;0%;0%
Before thawing;Pre-sort;0,99%;0,18%;2,12%;5,28%;0,09%;1,95%;0,02%;8,41%;0,07%;9,06%;21,00%;7,23%;15,70%
Before thawing;Sorted;0,24%;0%;0%;0%;0%;9,98E-05;0%;0,03%;0,47%;66,50%;30,30%;0,06%;0,16%
Day 0;After thawing;0,20%;0,12%;1,60%;3,28%;0,04%;0,08%;0,28%;6,92%;0%;5,12%;61,50%;0,12%;1,00%
Day 0;US;0%;0%;0%;0%;0%;0%;0%;0%;0%;99,70%;0%;0%;0%
Day 1;US;0%;0%;0%;0%;0%;0%;0%;0%;0%;99,60%;0,43%;0%;0%
Day 1;cDC1 no change;0,57%;11,00%;0%;3,55%;0,46%;0,11%;0%;7,32%;0%;3,78%;7,09%;0,34%;0,11%
Day 1;cDC1 change everyday;0,66%;9,96%;0%;4,62%;0,41%;0,10%;0%;8,18%;0%;4,93%;8,38%;0,20%;0,56%
Day 1;cDC1 change 1 of 2;0,57%;11,00%;0%;3,55%;0,46%;0,11%;0%;7,32%;0%;3,78%;7,09%;0,34%;0,11%
Day 1;HSC no change;0,24%;3,87%;0%;3,55%;0,08%;0,08%;0%;9,40%;0%;5,21%;7,11%;0,08%;0,32%
Day 1;HSC change everyday;0,24%;3,87%;0%;3,55%;0,08%;0,08%;0%;9,40%;0%;5,21%;7,11%;0,08%;0,32%
Day 1;HSC change 1 of 2 ;0,50%;3,52%;0%;4,66%;0%;0,13%;0%;13,70%;0%;4,91%;9,57%;0,06%;0,38%
Day 2;US;0%;0%;0%;0%;0%;0%;0%;0%;0%;99,70%;0%;0%;0%
Day 2;cDC1 no change;0%;8,06%;2,11%;26,10%;0,43%;0,09%;0,03%;3,94%;0%;15,00%;21,20%;0,06%;0,65%
